name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
SC,2022-05-11,3.48,3.46,3.46,3.34,3.38,3430525,11600.68,1.00,4.52,2.44,-0.10,-2.87%
SCB,2022-05-11,113.00,113.00,113.00,109.50,112.50,11277902,1254543.22,10.00,146.50,79.25,-0.50,-0.44%
SCC,2022-05-11,368.00,366.00,367.00,362.00,362.00,2364082,859264.22,1.00,478.00,258.00,-6.00,-1.63%
SCCC,2022-05-11,150.50,150.00,150.00,148.50,150.00,45455,6791.18,10.00,195.50,105.50,-0.50,-0.33%
SCGP,2022-05-11,53.25,53.00,54.50,52.50,53.25,8333835,445521.84,1.00,69.00,37.50,0.00,0.00%
SENA,2022-05-11,4.32,4.10,4.12,4.02,4.04,4086158,16589.10,1.00,5.30,2.88,-0.28,-6.48%
SF,2022-05-11,11.20,11.20,11.30,11.10,11.20,229819,2572.64,1.00,14.50,7.85,0.00,0.00%
SGP,2022-05-11,12.10,12.20,12.20,11.80,11.90,2215287,26432.49,0.50,15.70,8.50,-0.20,-1.65%
SINGER,2022-05-11,53.50,52.75,53.50,51.50,52.50,4730240,248200.12,1.00,69.50,37.50,-1.00,-1.87%
SIRI,2022-05-11,1.10,1.10,1.11,1.07,1.09,119637345,129882.71,1.07,1.43,0.77,-0.01,-0.91%
SIS,2022-05-11,37.00,37.00,37.00,35.25,35.75,556397,19885.64,1.00,48.00,26.00,-1.25,-3.38%
SKN,2022-05-11,9.15,9.20,9.40,9.00,9.10,4244400,39024.74,1.00,11.80,6.45,-0.05,-0.55%
SKR,2022-05-11,14.00,13.90,14.20,13.80,14.00,320613,4465.88,0.50,18.20,9.80,0.00,0.00%
SMPC,2022-05-11,14.80,14.80,15.00,14.60,14.70,1090136,16105.44,1.00,19.20,10.40,-0.10,-0.68%
SNC,2022-05-11,20.70,20.80,21.20,20.20,20.20,1849491,38106.05,1.00,26.75,14.50,-0.50,-2.42%
SPALI,2022-05-11,21.30,21.10,21.20,20.60,20.80,5648022,117503.01,1.00,27.50,15.00,-0.50,-2.35%
SPC,2022-05-11,64.75,64.50,65.00,64.50,65.00,635351,39631.39,1.00,84.00,45.50,+0.25,+0.39%
SPCG,2022-05-11,16.40,16.40,16.50,16.30,16.40,300270,4931.70,1.00,21.30,11.50,0.00,0.00%
SPRC,2022-05-11,10.90,10.80,10.90,10.70,10.80,17358812,186878.09,6.92,14.10,7.65,-0.10,-0.92%
SPRIME,2022-05-11,7.05,7.05,7.10,7.05,7.05,71600,504.79,9.38,9.15,4.94,0.00,0.00%
SSP,2022-05-11,10.00,10.10,10.10,9.75,9.75,2875578,28517.52,1.00,13.00,7.00,-0.25,-2.50%
STA,2022-05-11,22.50,22.40,23.00,22.10,22.70,21081733,477280.59,1.00,29.25,15.80,+0.20,+0.89%
STANLY,2022-05-11,169.00,168.50,170.00,167.50,168.00,37100,6253.11,5.00,219.00,118.50,-1.00,-0.59%
STARK,2022-05-11,4.62,4.62,4.64,4.56,4.58,5175196,23798.03,1.00,6.00,3.24,-0.04,-0.87%
STEC,2022-05-11,12.70,12.80,12.90,12.60,12.70,1825281,23242.36,1.00,16.50,8.90,0.00,0.00%
STGT,2022-05-11,19.80,19.70,19.70,19.00,19.10,19423794,373694.10,0.50,25.50,13.90,-0.70,-3.54%
SUPER,2022-05-11,0.81,0.82,0.85,0.82,0.84,135068082,112643.08,0.10,1.05,0.57,+0.03,+3.70%
SUPEREIF,2022-05-11,12.00,12.00,12.00,11.90,12.00,44421,530.08,9.96,15.60,8.40,0.00,0.00%
SVI,2022-05-11,8.10,8.05,8.25,7.90,8.10,4092972,33109.17,1.00,10.50,5.70,0.00,0.00%
SYNEX,2022-05-11,23.10,23.20,23.40,22.20,22.40,5732155,130242.26,1.00,30.00,16.20,-0.70,-3.03%
TASCO,2022-05-11,15.80,15.90,15.90,15.60,15.80,2407170,37843.99,1.00,20.50,11.10,0.00,0.00%
TCAP,2022-05-11,39.75,39.50,39.75,38.50,39.00,4431479,172810.36,10.00,51.50,28.00,-0.75,-1.89%
TFFIF,2022-05-11,8.25,8.30,8.30,8.20,8.20,2124701,17519.89,9.96,10.70,5.80,-0.05,-0.61%
TFG,2022-05-11,4.36,4.34,4.48,4.30,4.42,18124382,80116.94,1.00,5.65,3.06,+0.06,+1.38%
